n_event,M01,M02,M12
0,106.34755845214188,,
1,117.7866686677335,,
2,167.51760413107675,32.02380816865695,168.82575731160162
3,78.38637603869041,,
4,111.63405925503955,,
5,158.34415087887123,,
6,173.57573741038254,,
7,125.16508820810111,,
8,87.05859902511295,,
9,99.54859547929782,,
